Timestamp,PID,Component,Level,Code,Message,Category
25-02-2023 12:00,27730,fes,INFO,10,ServiceCheck: FES modules healthy,Normal
25-02-2023 12:00,27730,fes,INFO,2,ServiceCheck: FES modules healthy,Normal
25-02-2023 12:00,27730,fes,INFO,9,Cleanup: closed session=SID1632,Normal
25-02-2023 12:01,27730,fes,INFO,1,ScheduledBackup: ok,Normal
25-02-2023 12:01,27730,fes,INFO,7,ConfigReload: completed,Normal
25-02-2023 12:01,27730,fes,INFO,1,Cleanup: closed session=SID1111,Normal
25-02-2023 12:02,27730,fes,INFO,1,Cleanup: closed session=SID1482,Normal
25-02-2023 12:02,27730,fes,ERROR,40,"ProxyConnectionFailed: user=charlie,session=SID1502,ip=10.0.0.45,err=ProxyConnectionFailedIssue",Proxy Error
25-02-2023 12:03,27730,fes,INFO,2,ScheduledBackup: ok,Normal
25-02-2023 12:03,27730,fes,INFO,9,Initialization: FES worker started,Normal
25-02-2023 12:03,27730,fes,INFO,7,ScheduledBackup: ok,Normal
25-02-2023 12:04,27730,fes,ERROR,54,"AuthenticationFailed: user=frank,session=SID1135,ip=10.0.0.31,err=AuthenticationFailedIssue",1FA Failure
25-02-2023 12:04,27730,fes,INFO,9,Heartbeat: keepalive session=SID1654,Normal
25-02-2023 12:05,27730,fes,INFO,8,Heartbeat: keepalive session=SID1623,Normal
25-02-2023 12:05,27730,fes,INFO,6,ConfigReload: completed,Normal
25-02-2023 12:05,27730,fes,INFO,1,Cleanup: closed session=SID1325,Normal
25-02-2023 12:05,27730,fes,ERROR,57,"ConnectionFailed: user=alice,session=SID1127,ip=10.0.0.23,err=ConnectionFailedIssue",Connection Failure
25-02-2023 12:06,27730,fes,INFO,10,Cleanup: closed session=SID1844,Normal
25-02-2023 12:06,27730,fes,INFO,1,SessionRefresh: session=SID1579 ok,Normal
25-02-2023 12:06,27730,fes,INFO,9,ServiceCheck: FES modules healthy,Normal
25-02-2023 12:07,27730,fes,INFO,8,SessionRefresh: session=SID1706 ok,Normal
